customer_id,customer_name,register_date
C00001,李**,2024-01-26
C00002,陈**,2024-09-07
C00003,赵**,2024-05-22
C00004,李**,2025-07-12
C00005,李**,2025-03-08
C00006,张**,2024-01-31
C00007,李**,2024-08-11
C00008,赵**,2025-06-01
C00009,张**,2025-07-28
C00010,赵**,2025-07-12
C00011,黄**,2024-08-13
C00012,周**,2024-10-11
C00013,张**,2024-06-12
C00014,黄**,2024-12-14
C00015,陈**,2024-06-08
C00016,赵**,2024-12-10
C00017,李**,2024-04-04
C00018,黄**,2024-04-09
C00019,林**,2024-12-18
C00020,陈**,2024-02-14
C00021,周**,2025-07-03
C00022,李**,2025-01-22
C00023,李**,2025-07-19
C00024,陈**,2025-01-05
C00025,赵**,2024-03-12
C00026,张**,2024-08-21
C00027,陈**,2024-03-22
C00028,赵**,2024-04-13
C00029,黄**,2024-10-11
C00030,周**,2025-01-08
C00031,王**,2025-01-14
C00032,林**,2024-08-02
C00033,陈**,2024-03-14
C00034,王**,2025-06-30
C00035,赵**,2024-06-16
C00036,周**,2025-01-23
C00037,陈**,2025-07-24
C00038,赵**,2024-11-28
C00039,张**,2024-08-22
C00040,张**,2024-11-19
C00041,黄**,2024-10-01
C00042,李**,2024-08-04
C00043,林**,2024-08-05
C00044,周**,2025-02-09
C00045,周**,2024-05-26
C00046,陈**,2024-05-22
C00047,赵**,2025-07-28
C00048,陈**,2025-08-21
C00049,黄**,2025-08-20
C00050,黄**,2025-01-05
C00051,赵**,2024-05-21
C00052,周**,2024-04-03
C00053,张**,2024-04-22
C00054,王**,2024-06-12
C00055,黄**,2024-03-06
C00056,黄**,2025-01-25
C00057,周**,2025-06-25
C00058,陈**,2025-07-20
C00059,张**,2024-04-27
C00060,陈**,2024-12-14
C00061,李**,2024-10-27
C00062,黄**,2024-06-10
C00063,周**,2024-01-04
C00064,陈**,2025-05-27
C00065,王**,2025-06-03
C00066,李**,2024-11-01
C00067,赵**,2024-06-05
C00068,林**,2024-06-14
C00069,张**,2024-11-27
C00070,周**,2024-01-20
C00071,李**,2025-01-06
C00072,陈**,2024-09-02
C00073,张**,2024-09-03
C00074,李**,2024-03-28
C00075,周**,2024-03-11
C00076,王**,2024-05-11
C00077,周**,2025-07-16
C00078,王**,2024-09-28
C00079,黄**,2024-08-04
C00080,赵**,2024-11-15
C00081,黄**,2025-01-17
C00082,周**,2025-06-13
C00083,周**,2024-05-03
C00084,赵**,2024-08-18
C00085,李**,2024-12-12
C00086,张**,2025-07-21
C00087,赵**,2024-08-13
C00088,张**,2024-03-13
C00089,张**,2024-08-22
C00090,李**,2024-02-02
C00091,林**,2024-03-13
C00092,赵**,2024-10-12
C00093,周**,2024-08-07
C00094,王**,2025-08-07
C00095,周**,2024-09-05
C00096,周**,2025-02-20
C00097,赵**,2024-04-06
C00098,李**,2025-03-17
C00099,林**,2025-03-09
C00100,黄**,2025-04-23
C00101,张**,2024-04-10
C00102,张**,2025-02-16
C00103,林**,2024-04-21
C00104,赵**,2024-07-15
C00105,赵**,2025-07-03
C00106,周**,2024-05-23
C00107,黄**,2024-07-06
C00108,陈**,2025-04-18
C00109,赵**,2024-03-18
C00110,周**,2025-07-17
C00111,李**,2024-02-21
C00112,张**,2024-04-05
C00113,赵**,2024-06-19
C00114,黄**,2025-05-12
C00115,周**,2024-08-06
C00116,黄**,2024-03-01
C00117,王**,2025-01-23
C00118,张**,2025-02-03
C00119,陈**,2025-04-10
C00120,陈**,2025-03-09
C00121,周**,2024-06-07
C00122,赵**,2024-10-30
C00123,赵**,2024-02-29
C00124,张**,2024-11-17
C00125,张**,2024-02-21
C00126,周**,2025-05-29
C00127,王**,2024-02-28
C00128,李**,2024-07-09
C00129,李**,2024-03-10
C00130,赵**,2025-02-17
C00131,李**,2025-08-06
C00132,赵**,2025-08-15
C00133,张**,2024-03-24
C00134,黄**,2025-08-20
C00135,林**,2024-09-24
C00136,赵**,2024-11-17
C00137,赵**,2024-09-28
C00138,黄**,2024-05-14
C00139,陈**,2025-04-13
C00140,林**,2024-03-15
C00141,张**,2025-04-14
C00142,李**,2024-03-16
C00143,赵**,2025-06-02
C00144,陈**,2024-05-15
C00145,林**,2024-03-11
C00146,赵**,2025-01-13
C00147,陈**,2024-06-10
C00148,周**,2025-07-10
C00149,陈**,2025-06-25
C00150,张**,2025-07-21
C00151,陈**,2024-04-16
C00152,王**,2024-09-27
C00153,李**,2024-04-19
C00154,王**,2024-10-05
C00155,陈**,2024-08-03
C00156,林**,2024-07-27
C00157,陈**,2025-06-01
C00158,周**,2024-09-14
C00159,张**,2024-04-04
C00160,黄**,2024-10-10
C00161,张**,2024-01-04
C00162,林**,2024-05-13
C00163,陈**,2024-06-14
C00164,周**,2025-07-18
C00165,黄**,2025-07-28
C00166,张**,2024-04-24
C00167,李**,2024-06-01
C00168,张**,2025-01-13
C00169,王**,2025-03-16
C00170,王**,2024-02-12
C00171,陈**,2025-01-08
C00172,张**,2025-01-01
C00173,赵**,2024-09-12
C00174,李**,2024-12-28
C00175,黄**,2024-06-07
C00176,赵**,2024-06-15
C00177,王**,2025-02-26
C00178,张**,2024-07-02
C00179,林**,2025-02-25
C00180,赵**,2024-09-30
C00181,王**,2024-04-20
C00182,黄**,2024-02-09
C00183,周**,2024-08-15
C00184,赵**,2025-04-16
C00185,林**,2024-11-08
C00186,赵**,2024-08-16
C00187,张**,2024-07-16
C00188,黄**,2024-12-02
C00189,陈**,2024-03-12
C00190,陈**,2024-12-25
C00191,黄**,2025-07-03
C00192,林**,2024-01-29
C00193,李**,2024-09-24
C00194,王**,2025-08-17
C00195,陈**,2024-02-09
C00196,李**,2025-03-20
C00197,林**,2024-11-17
C00198,黄**,2025-06-07
C00199,李**,2025-01-29
C00200,赵**,2024-09-17
